Instance ID	Master ID	Skeletal code	Skeletal element	Year this sample was first published	Publication	Representative contact	Average of 95.4% date range in calBP (defined as 1950 CE)  	Date: One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 5983-5747 calBCE (6980¬±50 BP, Beta-226472). (Format 2) Archaeological context date, e.g. 2500-1700 BCE	Group_ID	Locality	Country	Lat.	Long.	Data type	Coverage on autosomal targets	SNPs hit on autosomal targets	Sex
I0861	I0861	Nat10	petrous	2016	LazaridisNature2016	Pinhasi, Ron	12750	11840-9760 BCE	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.107	115964	M
I1069	I1069	Nat5	petrous	2016	LazaridisNature2016	Pinhasi, Ron	12750	11840-9760 BCE	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.023222	27137	M
I1072	I1072	NAT9	petrous	2016	LazaridisNature2016	Pinhasi, Ron	12750	11840-9760 BCE	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.553	447140	M
I1685_published	I1685	NAT4	petrous	2016	LazaridisNature2016	Pinhasi, Ron	12750	11840-9760 BCE	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.035306	40968	M
I1687_published	I1687	NAT13	petrous	2016	LazaridisNature2016	Pinhasi, Ron	13265	11520-11110 calBCE (11405¬±120 BP, RTK-6607)	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.022889	26439	F
I1690_published	I1690	NAT6	petrous	2016	LazaridisNature2016	Pinhasi, Ron	12750	11840-9760 BCE	Israel_Natufian	Raqefet Cave	Israel	32.65	35.067	1240K	0.02557	29883	M
Kostenki14	Kostenki14	Kostenki14	bone (long bone)	2014	FuNature2016	Paabo, Svante	37470	36730-34310 calBCE (33250¬±500 BP, OxA-X-2395-15)	Russia_Kostenki14	Kostenki	Russia	51.23	39.3	1240K	16.136	1095867	M
Vestonice13_d	Vestonice13	Vestonice13	bone (long bone)	2016	FuNature2016	Paabo, Svante	30870	29120-28720 BCE (26640¬±110 BP, GrN-14831, layer date)	Czech_Vestonice	Dolni Vestonice	Czech Republic	48.53	16.39	1240K	0.071	114844	M
Vestonice15_d	Vestonice15	Vestonice15	bone (long bone)	2016	FuNature2016	Paabo, Svante	30870	29120-28720 BCE (26640¬±110 BP, GrN-14831, layer date)	Czech_Vestonice	Dolni Vestonice	Czech Republic	48.53	16.39	1240K	0.015	29358	M
Vestonice16	Vestonice16	Vestonice16	bone (long bone)	2016	FuNature2016	Paabo, Svante	30010	28760-27360 BCE [28634-27458 calBCE (GrN-15277: 25740¬±210 BP), 28586-27086 calBCE (25570¬±280, GrN-15276), layer date]	Czech_Vestonice	Dolni Vestonice	Czech Republic	48.53	16.39	1240K	0.999	745560	M
Vestonice43_d	Vestonice43	Vestonice43	bone (long bone)	2016	FuNature2016	Paabo, Svante	30010	28760-27360 BCE [28634-27458 calBCE (GrN-15277: 25740¬±210 BP), 28586-27086 calBCE (25570¬±280, GrN-15276), layer date]	Czech_Vestonice	Dolni Vestonice	Czech Republic	48.53	16.39	1240K	0.087	126626	M
I1960	I1960	Tyumen50, Kurgan 6, Mergen 6 (building No. 15)	petrous	2019	NarasimhanPattersonScience2019	Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin	8166	6361-6071 calBCE [6335-6071 calBCE (7330±40 BP, Poz-82198), 6361-6086 calBCE (7355±40 BP, OxA-33489, d15N=+15.3 permil possible marine influence)]	WSHG	Siberia, western, Tyumen Oblast	Russia	56.03622222	69.33886111	1240K	5.346	805830	F
I1958	I1958	Tyumen1, Kurgan 1, Mergen 6 (building No. 21, burial 1)	petrous	2019	NarasimhanPattersonScience2019	Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin	6591	4723-4558 calBCE (5805±25 BP, PSUAMS-2359)	WSHG	Siberia, western, Tyumen Oblast	Russia	56.03622222	69.33886111	1240K	0.027	31796	F
I5766	I5766	Tomsk10, inventory number 3079, burial 1	petrous	2019	NarasimhanPattersonScience2019	Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev, Dmitry Enshin	6057	4230-3983 calBCE (5261±33 BP, OxA-33486)	WSHG	Siberia, Sosnoviy Ostrov	Russia	57.35888889	65.365	1240K	1.761	625559	F
Villabruna	Villabruna	Villabruna	bone (long bone)	2016	FuNature2016	Paabo, Svante	13980	12230-11830 calBCE (12140¬±70 BP, KIA-27004)	Italy_Villabruna	Veneto, Villabruna	Italy	46.15	12.21	1240K	3.137	902419	M
GoyetQ116-1_published	GoyetQ116-1	GoyetQ116-1	bone (long bone)	2016	FuNature2016	Krause, Johannes	34795	33210-32480 calBCE (30880+170-160 BP, GrA-46175)	Belgium_UP_GoyetQ116_1_published_all	Troisieme caverne of Goyet cave	Belgium	50.446	5.008	1240K	1.046	780462	M
I1733	I1733	StPet8, site 5, collection 6462, individual 30	petrous	2018	MathiesonNature2018	Pinhasi, Ron	10200	9000-7500 BCE	Ukraine_Mesolithic	Vasil'evka	Ukraine	47.434167	35.276389	1240K	0.263	254785	F
I1737_published	I1737	StPet10, site 7, collection 6462, individual 11	petrous	2018	MathiesonNature2018	Pinhasi, Ron	10371	8540-8301 calBCE (9200¬±35 BP, PSUAMS-2394)	Ukraine_Mesolithic	Vasil'evka	Ukraine	47.434167	35.276389	1240K	0.071	77982	F
I1763	I1763	StPet9, site 6, collection 6462, individual 23	petrous	2018	MathiesonNature2018	Pinhasi, Ron	10074	8280-7967 calBCE (8960¬±50 BP, Poz-81127)	Ukraine_Mesolithic	Vasil'evka	Ukraine	47.434167	35.276389	1240K	3.469	831221	M
I1819	I1819	StPet12, site 9, collection 6462, individual 25	petrous	2017	MathiesonNature2018	Pinhasi, Ron	10643	8825-8561 calBCE (9420¬±50 BP, Poz-81128)	Ukraine_Mesolithic	Vasil'evka	Ukraine	47.434167	35.276389	1240K	3.435	813114	M
I5876	I5876	Mos35, Grave 142, ?	tooth	2018	MathiesonNature2018	Pinhasi, Ron	8822	7040-6703 calBCE (7960¬±30 BP, PSUAMS-2811)	Ukraine_Mesolithic	Dereivka I	Ukraine	48.91422	33.76493	1240K	0.798	475706	M
I5885	I5885	Mos45, Grave 84, ?	tooth	2018	MathiesonNature2018	Pinhasi, Ron	8110	6392-5927 calBCE (7270¬±110 BP, OxA-6161)	Ukraine_Mesolithic	Dereivka I	Ukraine	48.91422	33.76493	1240K	0.164	163110	F
I0018	I0018	Stuttgart	tooth	2014	LipsonNature2017 (new libraries added in to previously published data LazaridisNature2014)	Krause, Johannes	7140	5310-5070 calBCE (6246¬±30 BP, MAMS-24635)	Germany_LBK_EN	Stuttgart-Muehlhausen, Viesenhaeuser Hof	Germany	48.78	9.18	1240K	9.651	910144	F
I0022	I0022	LBK1976	tooth (premolar)	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Krause, Johannes	7125	5500-4850 BCE	Germany_LBK_EN	Stuttgart-Muehlhausen, Viesenhaeuser Hof	Germany	48.78	9.18	1240K	0.441	368546	F
I0025	I0025	LBK1992	tooth (molar)	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Krause, Johannes	7125	5500-4850 BCE	Germany_LBK_EN	Stuttgart-Muehlhausen, Viesenhaeuser Hof	Germany	48.78	9.18	1240K	2.655	836923	F
I0026	I0026	LBK2155	tooth (molar)	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Krause, Johannes	7125	5500-4850 BCE	Germany_LBK_EN	Stuttgart-Muehlhausen, Viesenhaeuser Hof	Germany	48.78	9.18	1240K	3.625	893563	F
I0046_published	I0046	HAL5	tooth	2015	LipsonNature2017 (higher.cov.version.of.MathiesonNature2015)	Haak, Wolfgang	7051	5211-4991 calBCE (6136¬±34 BP, MAMS-21479)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	2.233	950914	F
I0048_published	I0048	HAL25	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	7056	5210-5002 calBCE (6153¬±33 BP, MAMS-21482)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.493	489640	M
I0054	I0054	UWS4	petrous	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	7072	5222-5022 calBCE (6180¬±34 BP, MAMS-21485)	Germany_LBK_EN	Unterwiederstedt	Germany	51.66	11.53	1240K	18.61	978534	F
I0056	I0056	HAL14	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	7061	5213-5009 calBCE (6156¬±35 BP, MAMS-21480)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.406	367760	M
I0057_published	I0057	HAL34	bone	2015	LipsonNature2017 (higher.cov.version.of.MathiesonNature2015)	Haak, Wolfgang	7070	5219-5021 calBCE (6173¬±34 BP, MAMS-21483)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.246	392874	F
I0100	I0100	HAL4	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	6977	5202-4852 calBCE (6080¬±32 BP, KIA-40341)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	6.915	982315	F
I0659_published	I0659	HAL2	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	7037	5211-4963 calBCE (6130¬±40 BP, KIA-40350)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.758	648193	M
I0795	I0795	KAR6	tooth	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	7079	5217-5041 calBCE (6174¬±29 BP, MAMS-22823)	Germany_LBK_EN	Karsdorf	Germany	51.28305556	11.65	1240K	0.097	104752	M
I0797	I0797	KAR16A	tooth	2015	MathiesonNature2015	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Karsdorf	Germany	51.28305556	11.65	1240K	0.087	94125	M
I0821_published	I0821	HAL24	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	6976	5201-4850 calBCE (6076¬±34 BP, KIA-40348)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.423	629014	M
I1550_published	I1550	HAL19	tooth	2015	LipsonNature2017 (supplement of MathiesonNature2015, which itself was supplement of HaakLazaridis2015)	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.857	616873	F
I2008_published	I2008	HAL07a	tooth	2017	LipsonNature2017	Haak, Wolfgang	7052	5212-4992 calBCE (6137¬±35 BP, KIA-40342)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.048	121860	F
I2014	I2014	HAL15a	tooth	2017	LipsonNature2017	Haak, Wolfgang	6978	5199-4857 calBCE (6081¬±30 BP, KIA-40344)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.017	19344	M
I2017_published	I2017	HAL18a	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.02	55588	F
I2021_published	I2021	HAL21a	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.013	35761	M
I2022	I2022	HAL22b	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.018	20626	F
I2026_published	I2026	HAL27a	bone	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.05	141883	M
I2029_published	I2029	HAL31a	tooth	2017	LipsonNature2017	Haak, Wolfgang	7126	5295-5057 calBCE (6211¬±32 BP, KIA-40349)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.12	246281	F
I2030_published	I2030	HAL32b	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.225	532623	F
I2032_published	I2032	HAL35b	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.104	285045	F
I2036_published	I2036	HAL38a	tooth	2017	LipsonNature2017	Haak, Wolfgang	7125	5500-4850 BCE	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.292	468627	F
I2037_published	I2037	HAL39b	tooth	2017	LipsonNature2017	Haak, Wolfgang	7056	5210-5002 calBCE (6144¬±32 BP, KIA-40343)	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.08	206907	M
I2038_published	I2038	HAL40a	bone	2017	LipsonNature2017	Haak, Wolfgang	7125	5350-5000 BCE [1d.rel.I2005]	Germany_LBK_EN	Halberstadt-Sonntagsfeld	Germany	51.89583333	11.04666667	1240K	0.173	299173	F
SCH001	SCH001	Schwetzingen 9	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.060427	61754	F
SCH004	SCH004	Schwetzingen 33	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.016209	17613	M
SCH007	SCH007	Schwetzingen 71	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.121272	117801	F
SCH009	SCH009	Schwetzingen 99	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.270227	232901	F
SCH010	SCH010	Schwetzingen 100	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.333927	283866	F
SCH011	SCH011	Schwetzingen 107	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.02618	29594	M
SCH014	SCH014	Schwetzingen 122	bone (phalanx)	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.399826	327196	F
SCH015	SCH015	Schwetzingen 131	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7050	5200-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.026055	29746	F
SCH016	SCH016	Schwetzingen 133	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7091	5298-5041 calBCE (6202¬±36 BP, OxA-23206)	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.380715	281029	M
SCH018	SCH018	Schwetzingen 220	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7045	5212-4959 calBCE (6141¬±37 BP, OxA-23211)	Germany_LBK_EN	Baden-W√ºrttemberg, Schwetzingen	Germany	49.39	8.57	1240K	0.031303	34457	U(probablyM)
SMH004	SMH004	Grave 61, P44	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7116	5299-5061 calBCE (6222¬±25 BP, MAMS-36741)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.348834	287138	F
XN164	XN164	gr. 22/205	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7110	5299-5059 calBCE (6219¬±25 BP, MAMS-36728)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.45579	364692	M
XN165	XN165	gr. 9/3	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7099	5296-5056 calBCE (6213¬±24 BP, MAMS-36725)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.975379	445351	M
XN166	XN166	gr. 129/2119	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7100	5300-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.505142	323920	F
XN167	XN167	gr. 67/339	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7176	5310-5072 calBCE (6250¬±30 BP, MAMS-36743)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.613689	410530	M
XN168	XN168	gr. 38/518	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7093	5293-5055 calBCE (6209¬±24 BP, MAMS-36734)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.322633	268060	M
XN169	XN169	gr. 13/507	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7081	5282-5046 calBCE (6195¬±25 BP, MAMS-36726)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.515297	368674	F
XN170	XN170	gr. 32/209	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7024	5209-4951 calBCE (6123¬±26 BP, MAMS-36730)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.482439	326280	M
XN171	XN171	gr. 24/29	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7106	5298-5057 calBCE (6217¬±25 BP, MAMS-36729)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.724316	456208	M
XN172	XN172	gr. 34/517	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7101	5297-5056 calBCE (6214¬±25 BP, MAMS-36732)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.522129	389680	F
XN173	XN173	gr. 114/1993	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7060	5210-5007 calBCE (6155¬±31 BP, MAMS-25933)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.138913	147749	M
XN174	XN174	gr. 26/195	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	6898	5215-4681 calBCE [union of three dates: 5215-4840 calBCE (6100¬±70 BP, Hd-8031); 4993-4709 calBCE (5950¬±60 BP, Hd-7974); 4936-4681 calBCE (5910¬±50 BP, Hd-7935)]	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.256245	237140	M
XN175	XN175	gr. 59/530	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7092	5292-5055 calBCE (6208¬±24 BP, MAMS-36740)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.388547	321266	F
XN178	XN178	gr. 105/1975	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7100	5300-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.036834	41455	F
XN180	XN180	gr. 71/535	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7068	5214-5011 calBCE (6169¬±33 BP, MAMS-36745)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.175938	182870	M
XN182	XN182	gr. 79/381	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7076	5305-4946 calBCE [union of two dates: 5305-5034 calBCE (6210¬±45 BP, Hd-7979); 5211-4946 calBCE (6130¬±45 BP, Hd-7977)]	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.107505	114826	F
XN183	XN183	gr. 45/255	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7152	5304-5068 calBCE (6236¬±25 BP, MAMS-36736)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.102273	109371	F
XN188	XN188	gr. 44/262	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7130	5302-5063 calBCE (6228¬±25 BP, MAMS-36735)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.242741	220191	F
XN191	XN191	gr. 107/1977	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7199	5316-5081 calBCE (6267¬±30 BP, MAMS-25931)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.017646	20283	M
XN205	XN205	gr. 130/2120	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7100	5300-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.060013	67101	F
XN206	XN206	gr. 56/528	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7086	5288-5051 calBCE (6202¬±25 BP, MAMS-36738)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.02384	27573	U(probablyM)
XN207	XN207	gr. 120/2150	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7100	5300-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.165229	156614	F
XN211	XN211	gr. 37/256	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7068	5212-5031 calBCE (6165¬±25 BP, MAMS-36733)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.058003	64250	F
XN215	XN215	gr. 20/208	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7010	5208-4945 calBCE (6115¬±25 BP, MAMS-36727)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen I	Germany	48.78	9.18	1240K	0.027499	31646	M
XN224	XN224	gr. 68/1428	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7091	5293-5053 calBCE (6207¬±25 BP, MAMS-36744)	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.026351	30038	F
XN225	XN225	gr. 111/1979	tooth	2020	RivollatScienceAdvance2020	Haak, Wolfgang; Rivollat, MaiÃàteÃÅ	7100	5300-5000 BCE	Germany_LBK_EN	Baden-W√ºrttemberg, Stuttgart-M√ºhlhausen II	Germany	48.78	9.18	1240K	0.11259	120828	M
I0176	I0176	SZEH4	tooth (molar)	2015	MathiesonNature2015 (1240k of same same sample with 390k in HaakLazaridis2015)	Haak, Wolfgang	7026	5207-4944 calBCE (6110¬±30 BP, Beta-310038)	Hungary_LBK_MN	Szemely-Hegyes	Hungary	46.025398	18.325056	1240K	0.066	69444	F
I1496	I1496	HUNG352, NE6	petrous	2014	MathiesonNature2015 (capture of same sample shotgunned in Gamba2014)	Pinhasi, Ron	7052	5211-4992 calBCE (6135¬±33 BP, MAMS-14821)	Hungary_LBK_MN	Apc-Berekalya I	Hungary	47.167	19.833	1240K	5.246	812201	M
I1882	I1882	BUD4a	tooth (molar)	2017	LipsonNature2017	Sz√©cs√©nyi-Nagy, Anna	7050	5300-4900 BCE	Hungary_LBK_MN	Budakeszi, Sziliskert-Tangazdas√°g	Hungary	47.50163	18.910468	1240K	0.165	176572	M
I1883	I1883	TOLM4a	tooth (molar)	2017	LipsonNature2017	Sz√©cs√©nyi-Nagy, Anna	7139	5301-5076 calBCE (6233¬±23 BP, MAMS-14145)	Hungary_LBK_MN	Tolna-M√∂zs, M6TO026	Hungary	46.407091	18.742154	1240K	0.056	65309	M
I1904	I1904	BAL25b	petrous	2017	LipsonNature2017	Sz√©cs√©nyi-Nagy, Anna	7028	5208-4948 calBCE (6115¬±35 BP, Poz-82584)	Hungary_LBK_MN	B√°tasz√©k, Lajv√©r	Hungary	46.20487	18.7004	1240K	2.768	804922	M
